Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
Jose Campana,es ESP,MF,Levante,es La Liga,28,1993,15.8,27.0,16,13.0,10.0,4.0,12.0,32.0,37.5,20.0,13.0,2.0,11.0,21,48.0,19.0,1.0,2,12,5,41.7,0.76,0.32,0.17,0.4,21.4,1.0,0,1,1.6,0.7,0.06,0.4,1.3,42.0,2.63,28.0,9.0,0.0,4.0,0.0,1.0,3.0,0.19,2.0,0.0,0.0,1.0,0.0,0.0,715.0,880.0,81.3,11816.0,4424.0,365.0,395.0,92.4,248.0,291.0,85.2,74.0,141.0,52.5,2,1.7,1.3,0.3,24.0,79.0,16.0,1.0,100.0,20,16,1422,2,6,1,0.13,0.13,0.25,0.13,0.25,2.4,0.1,0.11,0.21,0.04,0.15,791.0,87.0,48.0,3.0,17.0,56,4.0,35.0,13.0,14.0,1.0,2.0,16.0,1017.0,32.0,216.0,564.0,255.0,18.0,1017.0,21.0,35.0,60.0,21.0,10.0,680.0,40.0,0,17,22,1,16,0.0,0.0,0,109.0,17.0,18.0,48.6
Chem Campbell,wls WAL,MF,Wolves,eng Premier League,18,2002,0.1,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,6.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,90.0,14.0,8.0,9.0,88.9,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,8.0,1.0,11.0,0.0,0.0,,0.0,0.0,9.0,1.0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,1.0,0.0
Emre Can,de GER,"DF,MF",Dortmund,de Bundesliga,27,1994,18.8,36.0,22,20.0,16.0,0.0,15.0,30.0,50.0,15.0,26.0,10.0,16.0,36,72.0,40.0,2.0,5,7,2,28.6,0.37,0.11,0.14,0.5,30.6,0.0,4,4,3.4,0.3,0.04,1.6,0.7,16.0,0.85,13.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,1223.0,1436.0,85.2,22156.0,7240.0,507.0,554.0,91.5,575.0,637.0,90.3,118.0,193.0,61.1,1,0.9,1.4,0.1,6.0,82.0,7.0,0.0,98.0,24,19,1690,1,5,0,0.27,0.05,0.32,0.05,0.11,1.2,0.18,0.05,0.23,0.01,0.06,1367.0,65.0,29.0,1.0,9.0,7,35.0,0.0,0.0,0.0,0.0,4.0,11.0,1634.0,102.0,550.0,943.0,155.0,16.0,1630.0,18.0,27.0,66.7,22.0,9.0,1137.0,21.0,0,32,21,1,22,0.0,0.0,0,166.0,31.0,15.0,67.4
Sergio Canales,es ESP,"FW,MF",Betis,es La Liga,30,1991,31.0,24.0,14,8.0,12.0,4.0,10.0,35.0,28.6,25.0,16.0,1.0,15.0,10,34.0,12.0,0.0,5,54,24,44.4,1.74,0.77,0.09,0.21,21.0,3.0,0,0,4.8,4.8,0.09,0.2,0.2,133.0,4.29,115.0,7.0,5.0,5.0,1.0,0.0,13.0,0.42,11.0,0.0,2.0,0.0,0.0,0.0,1551.0,1878.0,82.6,25591.0,6640.0,771.0,867.0,88.9,554.0,633.0,87.5,154.0,250.0,61.6,8,5.5,5.9,2.5,65.0,145.0,56.0,5.0,151.0,34,33,2791,5,6,0,0.16,0.26,0.42,0.16,0.42,10.3,0.15,0.18,0.33,0.15,0.33,1798.0,73.0,48.0,22.0,30.0,67,16.0,9.0,4.0,4.0,0.0,7.0,38.0,2094.0,21.0,246.0,1104.0,772.0,70.0,2094.0,29.0,57.0,50.9,50.0,41.0,1694.0,131.0,0,19,39,11,14,0.0,0.0,0,179.0,11.0,26.0,29.7
Matteo Cancellieri,it ITA,"MF,DF",Hellas Verona,it Serie A,19,2002,2.5,4.0,4,2.0,2.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,2.0,1,5.0,0.0,0.0,1,4,1,25.0,1.59,0.4,0.25,1.0,20.4,0.0,0,0,0.2,0.2,0.05,0.8,0.8,7.0,2.79,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,70.0,65.7,645.0,187.0,30.0,37.0,81.1,8.0,14.0,57.1,6.0,10.0,60.0,0,0.2,0.1,-0.2,4.0,2.0,2.0,0.0,3.0,12,1,227,1,1,0,0.4,0.0,0.4,0.4,0.4,0.5,0.08,0.1,0.18,0.08,0.18,62.0,8.0,1.0,1.0,0.0,8,7.0,0.0,0.0,0.0,0.0,0.0,5.0,98.0,0.0,6.0,45.0,50.0,10.0,98.0,6.0,12.0,50.0,8.0,2.0,56.0,5.0,0,9,4,1,4,0.0,0.0,0,13.0,4.0,13.0,23.5
Joao Cancelo,pt POR,DF,Manchester City,eng Premier League,27,1994,35.9,83.0,54,33.0,35.0,15.0,46.0,91.0,50.5,45.0,25.0,3.0,22.0,59,142.0,45.0,1.0,1,81,23,28.4,2.26,0.64,0.01,0.04,22.0,1.0,0,0,5.1,5.1,0.06,-4.1,-4.1,126.0,3.51,98.0,1.0,8.0,16.0,2.0,1.0,18.0,0.5,13.0,1.0,1.0,3.0,0.0,0.0,2809.0,3365.0,83.5,44538.0,12620.0,1610.0,1732.0,93.0,938.0,1130.0,83.0,208.0,346.0,60.1,7,6.1,6.6,0.9,39.0,308.0,96.0,12.0,243.0,36,36,3227,1,7,0,0.03,0.2,0.22,0.03,0.22,11.2,0.14,0.17,0.31,0.14,0.31,3019.0,338.0,55.0,21.0,41.0,124,282.0,1.0,1.0,0.0,0.0,8.0,59.0,3727.0,66.0,611.0,1920.0,1225.0,101.0,3727.0,56.0,106.0,52.8,45.0,24.0,2740.0,129.0,0,34,26,2,54,0.0,0.0,0,217.0,57.0,51.0,52.8
Fali Cande,gw GNB,DF,Metz,fr Ligue 1,23,1998,10.8,30.0,18,13.0,15.0,2.0,13.0,31.0,41.9,18.0,11.0,2.0,9.0,6,36.0,21.0,0.0,0,6,2,33.3,0.55,0.18,0.0,0.0,27.0,3.0,0,0,0.3,0.3,0.05,-0.3,-0.3,17.0,1.57,9.0,6.0,0.0,1.0,0.0,1.0,3.0,0.28,3.0,0.0,0.0,0.0,0.0,0.0,348.0,488.0,71.3,5944.0,2533.0,168.0,197.0,85.3,146.0,190.0,76.8,34.0,82.0,41.5,2,1.4,1.5,0.6,12.0,16.0,4.0,3.0,15.0,11,11,973,0,2,0,0.0,0.18,0.18,0.0,0.18,1.7,0.03,0.13,0.16,0.03,0.16,371.0,117.0,9.0,0.0,1.0,45,90.0,18.0,11.0,7.0,0.0,0.0,13.0,608.0,33.0,210.0,268.0,135.0,4.0,608.0,7.0,22.0,31.8,18.0,9.0,324.0,15.0,0,11,11,0,18,0.0,0.0,0,60.0,18.0,12.0,60.0
Antonio Candreva,it ITA,"MF,FW",Sampdoria,it Serie A,34,1987,34.7,27.0,16,9.0,11.0,7.0,19.0,55.0,34.5,36.0,23.0,2.0,21.0,33,60.0,19.0,0.0,7,72,19,26.4,2.08,0.55,0.08,0.32,21.9,4.0,1,2,7.0,5.4,0.08,0.0,0.6,140.0,4.04,84.0,37.0,7.0,7.0,5.0,0.0,16.0,0.46,10.0,4.0,0.0,1.0,1.0,0.0,1296.0,1948.0,66.5,23792.0,8485.0,617.0,730.0,84.5,397.0,600.0,66.2,221.0,444.0,49.8,10,8.7,8.3,1.3,78.0,138.0,76.0,31.0,167.0,36,36,3119,6,6,1,0.2,0.29,0.49,0.17,0.46,14.2,0.2,0.25,0.45,0.16,0.41,1679.0,254.0,78.0,11.0,51.0,343,62.0,114.0,22.0,67.0,0.0,15.0,60.0,2232.0,43.0,330.0,1005.0,923.0,79.0,2230.0,21.0,51.0,41.2,58.0,35.0,1617.0,129.0,0,19,48,14,16,0.0,0.0,0,193.0,2.0,7.0,22.2
Sergi Canos,es ESP,"DF,FW",Brentford,eng Premier League,24,1997,23.1,56.0,25,32.0,15.0,9.0,33.0,60.0,55.0,27.0,32.0,3.0,29.0,22,78.0,38.0,0.0,3,33,12,36.4,1.43,0.52,0.09,0.25,16.3,1.0,0,0,3.4,3.4,0.1,-0.4,-0.4,37.0,1.6,29.0,3.0,3.0,2.0,0.0,0.0,5.0,0.22,3.0,1.0,0.0,1.0,0.0,0.0,449.0,774.0,58.0,7092.0,2936.0,253.0,316.0,80.1,140.0,235.0,59.6,38.0,134.0,28.4,2,1.9,2.3,0.1,17.0,47.0,24.0,9.0,59.0,31,25,2083,3,8,1,0.13,0.09,0.22,0.13,0.22,5.3,0.14,0.08,0.23,0.14,0.23,726.0,46.0,10.0,5.0,3.0,87,17.0,17.0,10.0,4.0,0.0,2.0,41.0,1065.0,64.0,303.0,444.0,334.0,51.0,1065.0,23.0,50.0,46.0,47.0,25.0,595.0,52.0,1,28,15,5,25,0.0,0.0,1,183.0,9.0,27.0,25.0
Alex Cantero,es ESP,"FW,MF",Levante,es La Liga,21,2000,6.8,6.0,4,2.0,3.0,1.0,1.0,8.0,12.5,7.0,2.0,0.0,2.0,1,7.0,0.0,0.0,0,15,5,33.3,2.21,0.74,0.0,0.0,15.2,0.0,0,0,2.4,2.4,0.16,-2.4,-2.4,18.0,2.65,14.0,0.0,1.0,3.0,0.0,0.0,4.0,0.59,4.0,0.0,0.0,0.0,0.0,0.0,89.0,131.0,67.9,1347.0,374.0,52.0,65.0,80.0,29.0,42.0,69.0,5.0,9.0,55.6,1,0.5,0.6,0.5,3.0,8.0,6.0,2.0,12.0,25,4,610,0,1,0,0.0,0.15,0.15,0.0,0.15,2.9,0.35,0.08,0.42,0.35,0.42,122.0,8.0,0.0,1.0,3.0,6,4.0,0.0,0.0,0.0,0.0,1.0,6.0,192.0,4.0,22.0,75.0,99.0,28.0,192.0,8.0,15.0,53.3,16.0,8.0,143.0,33.0,0,13,4,0,4,0.0,0.0,0,17.0,3.0,13.0,18.8
